Tempo:	Ora:	Giorno:	Misura analogica:	Voltaggio:	Umidita' corrente:	Temperatura:	Rs/Ro:	PPM:
1477337048	19:24:8	24/10/2016	21	0.10	58.00	21.00	3.51	33.05
1477337078	19:24:38	24/10/2016	22	0.11	58.00	21.00	3.41	35.88
1477337108	19:25:8	24/10/2016	23	0.11	58.00	21.00	3.50	33.27
1477337138	19:25:38	24/10/2016	21	0.10	58.00	21.00	3.44	35.01
1477337168	19:26:8	24/10/2016	21	0.10	58.00	21.00	3.38	36.80
1477337198	19:26:38	24/10/2016	22	0.11	59.00	21.00	3.47	34.08
1477337228	19:27:9	24/10/2016	21	0.10	59.00	21.00	3.35	37.65
1477337259	19:27:39	24/10/2016	21	0.10	59.00	21.00	3.58	31.24
1477337289	19:28:9	24/10/2016	21	0.10	59.00	21.00	3.41	35.80
1477337319	19:28:39	24/10/2016	24	0.12	59.00	21.00	3.54	32.33
1477337349	19:29:9	24/10/2016	21	0.10	59.00	21.00	3.48	33.94
1477337379	19:29:39	24/10/2016	21	0.10	59.00	21.00	3.51	33.10
1477337409	19:30:9	24/10/2016	23	0.11	59.00	21.00	3.47	34.08
1477337439	19:30:39	24/10/2016	21	0.10	59.00	21.00	3.62	30.37
1477337469	19:31:9	24/10/2016	22	0.11	59.00	21.00	3.32	38.61
1477337499	19:31:39	24/10/2016	21	0.10	59.00	21.00	3.50	33.27
1477337529	19:32:9	24/10/2016	24	0.12	59.00	21.00	3.37	36.88
1477337559	19:32:39	24/10/2016	21	0.10	59.00	21.00	3.37	36.88
1477337589	19:33:9	24/10/2016	23	0.11	59.00	21.00	3.38	36.79
1477337619	19:33:39	24/10/2016	24	0.12	59.00	22.00	3.28	39.71
1477337649	19:34:9	24/10/2016	20	0.10	59.00	21.00	3.44	34.93
1477337679	19:34:39	24/10/2016	19	0.09	59.00	21.00	3.43	35.18
1477337709	19:35:9	24/10/2016	21	0.10	59.00	22.00	3.47	34.08
1477337739	19:35:39	24/10/2016	21	0.10	59.00	22.00	3.28	39.71
1477337769	19:36:9	24/10/2016	24	0.12	59.00	21.00	3.36	37.20
1477337799	19:36:39	24/10/2016	23	0.11	59.00	21.00	3.34	37.82
1477337829	19:37:9	24/10/2016	23	0.11	59.00	22.00	3.44	34.93
1477337859	19:37:39	24/10/2016	21	0.10	59.00	21.00	3.34	37.82
1477337889	19:38:9	24/10/2016	22	0.11	59.00	21.00	3.32	38.53
1477337919	19:38:39	24/10/2016	21	0.10	59.00	22.00	3.32	38.61
1477337949	19:39:9	24/10/2016	22	0.11	58.00	22.00	3.35	37.57
1477337979	19:39:39	24/10/2016	21	0.10	59.00	22.00	3.31	38.71
1477338009	19:40:9	24/10/2016	21	0.10	59.00	21.00	3.46	34.48
1477338039	19:40:39	24/10/2016	21	0.10	58.00	21.00	3.41	35.88
1477338069	19:41:9	24/10/2016	23	0.11	58.00	22.00	3.35	37.48
1477338099	19:41:39	24/10/2016	23	0.11	58.00	22.00	3.26	40.48
